top - 16:34:57 up  1:40,  2 users,  load average: 3.26, 2.68, 1.77
Tasks: 118 total,   2 running,  99 sleeping,  17 stopped,   0 zombie
%Cpu(s):  0.0 us,  4.8 sy,  0.0 ni, 57.1 id, 33.3 wa,  4.8 hi,  0.0 si,  0.0 st
MiB Mem :   1827.1 total,   1680.4 free,     95.8 used,     50.8 buff/cache
MiB Swap:    820.0 total,    725.3 free,     94.7 used.   1632.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    845 root      20   0   17408     36      4 S   0.0   0.0   0:00.00 mcelog
    846 root      20   0   26364      0      0 S   0.0   0.0   0:00.01 smartd
    849 root      20   0  422200     48      0 S   0.0   0.0   0:00.03 sssd
    850 rngd      20   0  160112     16      4 S   0.0   0.0   0:04.02 rngd
    851 root      20   0  311540      0      0 S   0.0   0.0   0:00.00 gssproxy
    853 avahi     20   0   82616      0      0 S   0.0   0.0   0:00.00 avahi-daemon
    869 root      20   0  428768     68      0 S   0.0   0.0   0:00.11 sssd_be
    872 root      20   0  498732      0      0 S   0.0   0.0   0:00.47 firewalld
    873 root      20   0  431108    240      0 S   0.0   0.0   0:00.23 sssd_nss
    879 root      20   0   97840    732      0 S   0.0   0.0   0:00.22 systemd-logind
    885 root      20   0  680796    360      0 S   0.0   0.0   0:00.24 NetworkManager
    893 root      20   0  635076   2024   1468 S   0.0   0.1   0:01.08 tuned
    898 root      20   0   92964      8      0 S   0.0   0.0   0:00.00 sshd
   1115 root      20   0  245844    108      0 S   0.0   0.0   0:00.02 crond
   1116 root      20   0   42620     28      0 S   0.0   0.0   0:00.00 atd
   1117 root      20   0  121672      4      0 S   0.0   0.0   0:00.02 login
   1409 root      20   0   93768      8      4 S   0.0   0.0   0:00.02 systemd
   1415 root      20   0  151728     44      0 S   0.0   0.0   0:00.00 (sd-pam)
   1421 root      20   0  236596   1980   1412 S   0.0   0.1   0:00.38 bash
   1608 root      20   0  222488      4      4 T   0.0   0.0   0:00.00 bash
